Virus name	Accession ID	Collection date	Location	travel	excluded	followed up	baseline surveillance
hCoV-19/Belgium/ULG-12917/2021	EPI_ISL_1241728	2021-03-01	Europe / Belgium / Liège	Cameroon		TRUE	TRUE
hCoV-19/England/CAMC-1382B1E/2021	EPI_ISL_1242199	2021-03-01	Europe / United Kingdom / England			TRUE	
hCoV-19/England/CAMC-13B04C1/2021	EPI_ISL_1275749	2021-03-09	Europe / United Kingdom / England			TRUE	
hCoV-19/England/CAMC-139A928/2021	EPI_ISL_1275972	2021-03-04	Europe / United Kingdom / England			TRUE	
hCoV-19/England/CAMC-139AFAE/2021	EPI_ISL_1276088	2021-03-04	Europe / United Kingdom / England			TRUE	
hCoV-19/Germany/RP-RKI-I-037987/2021	EPI_ISL_1284252	2021-03-09	Europe / Germany / Rhineland-Palatinate				
hCoV-19/England/CAMC-13AFBFD/2021	EPI_ISL_1316127	2021-03-06	Europe / United Kingdom / England			TRUE	
hCoV-19/England/CAMC-13D4360/2021	EPI_ISL_1327538	2021-03-12	Europe / United Kingdom / England			TRUE	
hCoV-19/England/CAMC-13B8441/2021	EPI_ISL_1329214	2021-03-10	Europe / United Kingdom / England			TRUE	
hCoV-19/England/CAMC-13B749D/2021	EPI_ISL_1329219	2021-03-08	Europe / United Kingdom / England			TRUE	
hCoV-19/England/CAMC-13B8423/2021	EPI_ISL_1329268	2021-03-10	Europe / United Kingdom / England			TRUE	
hCoV-19/Switzerland/GE-33576177/2021	EPI_ISL_1369646	2021-03-16	Europe / Switzerland / Geneva	Cameroon		TRUE	
hCoV-19/Belgium/rega-5050/2021	EPI_ISL_1382294	2021-03-14	Europe / Belgium / Sint-Joost-ten-Node	Cameroon		TRUE	TRUE
hCoV-19/Lithuania/MR-LUHS-3-60/2021	EPI_ISL_1404880	2021-03-15	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/France/ARA-210013001901/2021	EPI_ISL_1406653	2021-02-26	Europe / France / Auvergne-Rhone-Alpes / Issoire	Cameroon		TRUE	
hCoV-19/France/PDL-IPP07069/2021	EPI_ISL_1495980	2021-03-18	Europe / France / Pays de la Loire / La Roche-sur-Yon	Cameroon		TRUE	
hCoV-19/Belgium/UZA-UA-24912930/2021	EPI_ISL_1498300	2021-03-15	Europe / Belgium / Neder-Over-Heembeek	Cameroon	TRUE	TRUE	TRUE
hCoV-19/Lithuania/LSMULKKGMMK10C167/2021	EPI_ISL_1540680	2021-03-15	Europe / Lithuania / Vilnius				
hCoV-19/Lithuania/LSMULKKGMMK10C170/2021	EPI_ISL_1540683	2021-03-15	Europe / Lithuania / Vilnius				
hCoV-19/Germany/NI-RKI-I-059759/2021	EPI_ISL_1565237	2021-03-22	Europe / Germany / Lower Saxony				
hCoV-19/Germany/BY-RKI-I-060971/2021	EPI_ISL_1566470	2021-03-25	Europe / Germany / Bavaria				
hCoV-19/Germany/BY-RKI-I-061070/2021	EPI_ISL_1566566	2021-03-26	Europe / Germany / Bavaria				
hCoV-19/Germany/BY-RKI-I-063055/2021	EPI_ISL_1568272	2021-03-31	Europe / Germany / Bavaria				
hCoV-19/Germany/un-RKI-I-066248/2021	EPI_ISL_1571290	2021-03-29	Europe / Germany				
