Lithuania	#E1C72F
Czech Republic	#74c476
Germany	#31a354
Spain	#5A5A5A
Switzerland	#386cb0
Belgium	#1c9099
France	#016450
England	#BE80A3
USA	#8856a7
Cameroon	#91464C
CAR	#e34a33
Equatorial Guinea	#fc8d59
Mali	#a6761d
DRC	#fc8d59
Africa	#48A365
Europe	#77BEDB
NorthAmerica	#4C72A5
SouthAmerica	#E1C72F
Oceania	#CCC197
Asia	#D0694A
Norway	#5A5A5A
Sweden	#5A5A5A
Ireland	#5A5A5A
Portugal	#5A5A5A
Canada	#8B7C94
Scotland	#C5408B
Philippines	#5A5A5A
Luxembourg	#93C2E6
South Korea	#D2B9A2
Turkey	#D85933
Ghana	#fc8d59
?	#5A5A5A
Italy	#93C2E6
Finland	#5A5A5A
Gabon	#fc8d59
Hong Kong	#5A5A5A
